,Precipitacion
1990-01-16 12:00:00,1.82732841350365e-18
1990-02-15 00:00:00,2.4178419821753544e-17
1990-03-16 12:00:00,6.303947884589434e-06
1990-04-16 00:00:00,6.013225356582552e-05
1990-05-16 12:00:00,3.299882519058883e-05
1990-06-16 00:00:00,5.388529098127037e-05
1990-07-16 12:00:00,2.0763545762747526e-05
1990-08-16 12:00:00,9.679171489551663e-05
1990-09-16 00:00:00,6.934900738997385e-05
1990-10-16 12:00:00,4.2539453716017306e-05
1990-11-16 00:00:00,4.733985406346619e-06
1990-12-16 12:00:00,9.492981995916274e-16
1991-01-16 12:00:00,5.398760549724102e-08
1991-02-15 00:00:00,7.976777851581573e-07
1991-03-16 12:00:00,2.5743705919012427e-05
1991-04-16 00:00:00,3.0646289815194905e-05
1991-05-16 12:00:00,3.511516842991114e-05
1991-06-16 00:00:00,6.290916644502431e-05
1991-07-16 12:00:00,5.3711686632595956e-05
1991-08-16 12:00:00,7.89117329986766e-05
1991-09-16 00:00:00,9.533541742712259e-05
1991-10-16 12:00:00,5.3693438530899584e-05
1991-11-16 00:00:00,3.244684194214642e-06
1991-12-16 12:00:00,1.445310772396624e-06
1992-01-16 12:00:00,1.8742866814136505e-08
1992-02-15 12:00:00,1.6986008294988614e-16
1992-03-16 12:00:00,3.361827111802995e-06
1992-04-16 00:00:00,3.0669893021695316e-05
1992-05-16 12:00:00,4.9476977437734604e-05
1992-06-16 00:00:00,5.959800910204649e-05
1992-07-16 12:00:00,8.385852561332285e-05
1992-08-16 12:00:00,8.854526095092297e-05
1992-09-16 00:00:00,8.79182480275631e-05
1992-10-16 12:00:00,7.512657612096518e-05
1992-11-16 00:00:00,8.611648809164762e-06
1992-12-16 12:00:00,8.614735591550016e-09
1993-01-16 12:00:00,6.855552783235908e-07
1993-02-15 00:00:00,8.392380550503731e-07
1993-03-16 12:00:00,5.175636033527553e-06
1993-04-16 00:00:00,2.170997322537005e-05
1993-05-16 12:00:00,4.071897274116054e-05
1993-06-16 00:00:00,4.485542012844235e-05
1993-07-16 12:00:00,5.8603734942153096e-05
1993-08-16 12:00:00,7.553449540864676e-05
1993-09-16 00:00:00,9.206769755110145e-05
1993-10-16 12:00:00,6.615680467803031e-05
1993-11-16 00:00:00,1.2644071830436587e-05
1993-12-16 12:00:00,6.454005658086768e-16
1994-01-16 12:00:00,1.3096826401159944e-10
1994-02-15 00:00:00,6.690696309702773e-16
1994-03-16 12:00:00,2.931413473561406e-05
1994-04-16 00:00:00,2.9185001039877534e-05
1994-05-16 12:00:00,2.630181552376598e-05
1994-06-16 00:00:00,5.774329474661499e-05
1994-07-16 12:00:00,6.551003025379032e-05
1994-08-16 12:00:00,9.501782187726349e-05
1994-09-16 00:00:00,7.644998549949378e-05
1994-10-16 12:00:00,5.626489291898906e-05
1994-11-16 00:00:00,1.57606991706416e-05
1994-12-16 12:00:00,3.5050030127991856e-16
1995-01-16 12:00:00,2.501072299840399e-16
1995-02-15 00:00:00,3.510889891782603e-16
1995-03-16 12:00:00,1.0036543244495988e-05
1995-04-16 00:00:00,3.1663461413700134e-05
1995-05-16 12:00:00,4.875466402154416e-05
1995-06-16 00:00:00,2.7613830752670765e-05
1995-07-16 12:00:00,5.5436292313970625e-05
1995-08-16 12:00:00,6.938760634511709e-05
1995-09-16 00:00:00,0.00011541473213583231
1995-10-16 12:00:00,5.369790596887469e-05
1995-11-16 00:00:00,1.3795186532661319e-05
1995-12-16 12:00:00,3.814900992438197e-06
1996-01-16 12:00:00,1.8210550757380478e-18
1996-02-15 12:00:00,2.7648647815681215e-09
1996-03-16 12:00:00,1.8630234990268946e-06
1996-04-16 00:00:00,4.0368118789047e-05
1996-05-16 12:00:00,4.118733340874314e-05
1996-06-16 00:00:00,5.771327414549887e-05
1996-07-16 12:00:00,7.449598342645913e-05
1996-08-16 12:00:00,0.00010410691902507097
1996-09-16 00:00:00,9.447766933590174e-05
1996-10-16 12:00:00,7.99409463070333e-05
1996-11-16 00:00:00,1.6162332030944526e-05
1996-12-16 12:00:00,1.455198461730589e-11
1997-01-16 12:00:00,1.015705159139891e-15
1997-02-15 00:00:00,1.3096738138429487e-09
1997-03-16 12:00:00,5.136520485393703e-06
1997-04-16 00:00:00,5.201590829528868e-05
1997-05-16 12:00:00,3.896529960911721e-05
1997-06-16 00:00:00,3.141455817967653e-05
1997-07-16 12:00:00,7.167833973653615e-05
1997-08-16 12:00:00,5.445849092211574e-05
1997-09-16 00:00:00,8.731422713026404e-05
1997-10-16 12:00:00,7.93377694208175e-05
1997-11-16 00:00:00,1.4257413567975163e-05
1997-12-16 12:00:00,2.0954760149294316e-09
1998-01-16 12:00:00,1.341104507446289e-07
1998-02-15 00:00:00,1.6725243767723441e-06
1998-03-16 12:00:00,7.143520633690059e-06
1998-04-16 00:00:00,3.820034908130765e-05
1998-05-16 12:00:00,5.686995427822694e-05
1998-06-16 00:00:00,5.5523531045764685e-05
1998-07-16 12:00:00,8.840620284900069e-05
1998-08-16 12:00:00,9.520997991785407e-05
1998-09-16 00:00:00,7.733883103355765e-05
1998-10-16 12:00:00,6.285741983447224e-05
1998-11-16 00:00:00,1.5708370483480394e-05
1998-12-16 12:00:00,1.2523378245532513e-07
1999-01-16 12:00:00,4.745817077369478e-17
1999-02-15 00:00:00,6.511198910872154e-16
1999-03-16 12:00:00,6.484697223640978e-06
1999-04-16 00:00:00,3.0840979889035225e-05
1999-05-16 12:00:00,7.82396164140664e-05
1999-06-16 00:00:00,2.956308890134096e-05
1999-07-16 12:00:00,5.0579255912452936e-05
1999-08-16 12:00:00,8.223501208703965e-05
1999-09-16 00:00:00,0.00010151702736038715
1999-10-16 12:00:00,4.2849263991229236e-05
1999-11-16 00:00:00,1.1925410944968462e-05
1999-12-16 12:00:00,9.015202522277832e-07
2000-01-16 12:00:00,8.061761036515236e-09
2000-02-15 12:00:00,1.3772660167887807e-06
2000-03-16 12:00:00,1.78958143806085e-05
2000-04-16 00:00:00,2.848797885235399e-05
2000-05-16 12:00:00,6.112438859418035e-05
2000-06-16 00:00:00,4.52142849098891e-05
2000-07-16 12:00:00,7.299924618564546e-05
2000-08-16 12:00:00,9.453993698116392e-05
2000-09-16 00:00:00,8.497877570334822e-05
2000-10-16 12:00:00,7.555651245638728e-05
2000-11-16 00:00:00,4.2467727325856686e-06
2000-12-16 12:00:00,2.1024799113069108e-18
2001-01-16 12:00:00,3.236273187212646e-06
2001-02-15 00:00:00,2.905726432800293e-07
2001-03-16 12:00:00,1.877515751402825e-05
2001-04-16 00:00:00,5.288279498927295e-05
2001-05-16 12:00:00,6.038411083864048e-05
2001-06-16 00:00:00,4.7662280849181116e-05
2001-07-16 12:00:00,4.468625411391258e-05
2001-08-16 12:00:00,6.333772034849972e-05
2001-09-16 00:00:00,7.361925963778049e-05
2001-10-16 12:00:00,5.406078707892448e-05
2001-11-16 00:00:00,1.4894758351147175e-05
2001-12-16 12:00:00,2.3479515220969915e-08
2002-01-16 12:00:00,4.249159246683121e-09
2002-02-15 00:00:00,5.660986062139273e-07
2002-03-16 12:00:00,1.4576056855730712e-05
2002-04-16 00:00:00,5.1586946938186884e-05
2002-05-16 12:00:00,3.681430098367855e-05
2002-06-16 00:00:00,3.790583286900073e-05
2002-07-16 12:00:00,8.264422649517655e-05
2002-08-16 12:00:00,7.116224151104689e-05
2002-09-16 00:00:00,8.773476292844862e-05
2002-10-16 12:00:00,7.730747165624052e-05
2002-11-16 00:00:00,7.898343028500676e-06
2002-12-16 12:00:00,3.783498847553801e-09
2003-01-16 12:00:00,1.2257213932880987e-16
2003-02-15 00:00:00,6.351548552786888e-16
2003-03-16 12:00:00,9.415016393177211e-06
2003-04-16 00:00:00,4.2509607737883925e-05
2003-05-16 12:00:00,4.6347835450433195e-05
2003-06-16 00:00:00,5.750788113800809e-05
2003-07-16 12:00:00,6.70028239255771e-05
2003-08-16 12:00:00,9.238783968612552e-05
2003-09-16 00:00:00,7.486779941245914e-05
2003-10-16 12:00:00,6.423459853976965e-05
2003-11-16 00:00:00,1.4231278328225017e-05
2003-12-16 12:00:00,3.346940502524376e-09
2004-01-16 12:00:00,2.4592745617724177e-09
2004-02-15 12:00:00,2.5331974029541016e-07
2004-03-16 12:00:00,8.974195225164294e-06
2004-04-16 00:00:00,2.101958671119064e-05
2004-05-16 12:00:00,3.8116908399388194e-05
2004-06-16 00:00:00,1.3277851394377649e-05
2004-07-16 12:00:00,7.518363418057561e-05
2004-08-16 12:00:00,7.017208554316312e-05
2004-09-16 00:00:00,0.00011788270785473287
2004-10-16 12:00:00,5.6337405112572014e-05
2004-11-16 00:00:00,1.1633339454419911e-05
2004-12-16 12:00:00,1.7881393432617188e-07
2005-01-16 12:00:00,4.66741570777162e-16
2005-02-15 00:00:00,3.9636922648632745e-16
2005-03-16 12:00:00,1.5526791685260832e-05
2005-04-16 00:00:00,5.13681152369827e-06
2005-05-16 12:00:00,6.259371002670377e-05
2005-06-16 00:00:00,6.421649595722556e-05
2005-07-16 12:00:00,5.749973934143782e-05
2005-08-16 12:00:00,9.635032620280981e-05
2005-09-16 00:00:00,0.00011094087676610798
2005-10-16 12:00:00,9.125917858909816e-05
2005-11-16 00:00:00,1.6015837900340557e-05
2005-12-16 12:00:00,3.725290298461914e-08
2006-01-16 12:00:00,1.455194575950003e-10
2006-02-15 00:00:00,8.440045927096294e-16
2006-03-16 12:00:00,9.20385355129838e-06
2006-04-16 00:00:00,3.8184793083928525e-05
2006-05-16 12:00:00,4.874003934673965e-05
2006-06-16 00:00:00,5.526069435290992e-05
2006-07-16 12:00:00,7.086616824381053e-05
2006-08-16 12:00:00,7.437322346959263e-05
2006-09-16 00:00:00,8.840521331876516e-05
2006-10-16 12:00:00,6.661334191448987e-05
2006-11-16 00:00:00,2.6026260457001626e-05
2006-12-16 12:00:00,3.616150934249163e-08
2007-01-16 12:00:00,3.20143273002671e-10
2007-02-15 00:00:00,1.266889739781618e-07
2007-03-16 12:00:00,3.129534889012575e-06
2007-04-16 00:00:00,5.93054573982954e-06
2007-05-16 12:00:00,2.662136103026569e-05
2007-06-16 00:00:00,5.1869974413421005e-05
2007-07-16 12:00:00,7.870187982916832e-05
2007-08-16 12:00:00,8.455384522676468e-05
2007-09-16 00:00:00,0.0001370723475702107
2007-10-16 12:00:00,6.072568066883832e-05
2007-11-16 00:00:00,2.178722934331745e-05
2007-12-16 12:00:00,1.862645371275562e-09
2008-01-16 12:00:00,3.2014249584655374e-10
2008-02-15 12:00:00,8.585632205182492e-10
2008-03-16 12:00:00,6.234913598746061e-06
2008-04-16 00:00:00,9.02413739822805e-06
2008-05-16 12:00:00,3.677859785966575e-05
2008-06-16 00:00:00,6.4825129811652e-05
2008-07-16 12:00:00,7.150320743676275e-05
2008-08-16 12:00:00,8.859141962602735e-05
2008-09-16 00:00:00,9.843017323873937e-05
2008-10-16 12:00:00,4.935709876008332e-05
2008-11-16 00:00:00,5.009380402043462e-06
2008-12-16 12:00:00,1.819487775272413e-18
2009-01-16 12:00:00,6.721529643982649e-08
2009-02-15 00:00:00,4.525645636022091e-09
2009-03-16 12:00:00,2.2530730348080397e-06
2009-04-16 00:00:00,1.4671677490696311e-05
2009-05-16 12:00:00,3.584045043680817e-05
2009-06-16 00:00:00,8.065649308264256e-05
2009-07-16 12:00:00,6.391588249243796e-05
2009-08-16 12:00:00,8.88451177161187e-05
2009-09-16 00:00:00,7.754129183012992e-05
2009-10-16 12:00:00,8.823462121654302e-05
2009-11-16 00:00:00,9.62772173807025e-06
2009-12-16 12:00:00,1.910287994954206e-16
